transaction_id,outlet_id,transaction_date,transaction_time,day_of_week,month,is_weekend,is_holiday,order_channel,order_type,item_category,items_ordered,gross_amount,discount_applied,net_amount,food_cost,packaging_cost,aggregator_commission,contribution_margin,payment_method,delivery_time_mins,prep_time_mins,distance_km,customer_id,is_repeat_customer,is_new_customer,customer_rating,had_complaint,upsell_taken,staff_on_shift,kitchen_utilization_pct,waste_flag
TXN0000017,OT001,01-01-2023,22:01:06,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,2,188.98,0,188.98,36.44,20,47.24,85.3,Card,27,9,3.64,CUST004945,0,1,,0,0,6,0.67,1
TXN0000018,OT001,01-01-2023,23:48:19,Sunday,2023-01,1,0,Swiggy,Delivery,Burger,4,900.4,0,900.4,275.65,60,207.09,357.66,UPI,21,17,7.24,CUST028866,1,0,5,1,1,6,0.67,0
TXN0000019,OT001,01-01-2023,17:48:49,Sunday,2023-01,1,0,Swiggy,Delivery,Beverage,1,96.69,19.4,77.29,15.11,10,17.78,34.4,UPI,18,20,7.23,CUST030679,0,1,,0,0,6,0.67,0
TXN0000020,OT001,01-01-2023,19:07:53,Sunday,2023-01,1,0,Zomato,Delivery,Pizza,3,1213.61,0,1213.61,375.2,67.5,303.4,467.51,UPI,28,19,7.92,CUST004426,0,1,4.2,0,0,6,0.67,0
TXN0000021,OT001,02-01-2023,21:46:04,Monday,2023-01,0,0,Zomato,Delivery,Biryani,1,330.87,0,330.87,117.24,18.75,82.72,112.16,UPI,41,8,3.57,CUST024558,1,0,,0,0,5,0.3,0
TXN0000022,OT001,02-01-2023,15:31:16,Monday,2023-01,0,0,Swiggy,Delivery,Pizza,2,831.82,0,831.82,242.51,45,191.32,352.99,Cash,41,10,5.34,CUST031654,0,1,,0,0,5,0.3,0
TXN0000023,OT001,02-01-2023,07:36:24,Monday,2023-01,0,0,Swiggy,Delivery,Beverage,1,92.8,0,92.8,18.13,10,21.34,43.33,UPI,26,17,5.99,CUST020610,1,0,,0,0,5,0.3,0
TXN0000024,OT001,02-01-2023,10:42:00,Monday,2023-01,0,0,Zomato,Delivery,Pizza,1,391.14,0,391.14,115.65,22.5,97.78,155.21,UPI,17,16,5.89,CUST048276,1,0,,0,0,5,0.3,0
TXN0000025,OT001,02-01-2023,10:51:42,Monday,2023-01,0,0,Dine-in,Dine-in,Combo,1,486.72,0,486.72,158.12,25,0,303.6,UPI,,6,,CUST028146,1,0,,0,0,5,0.3,0
TXN0000026,OT001,02-01-2023,20:43:50,Monday,2023-01,0,0,Zomato,Delivery,Pizza,1,367.33,0,367.33,106.2,22.5,91.83,146.8,Card,27,16,1.89,CUST005320,0,1,,0,0,5,0.3,0
TXN0000027,OT001,02-01-2023,12:24:11,Monday,2023-01,0,0,Zomato,Delivery,Combo,4,1724.98,0,1724.98,593.45,100,431.24,600.29,UPI,29,9,7.37,CUST000615,1,0,3.9,0,0,5,0.3,0
TXN0000028,OT001,02-01-2023,05:30:23,Monday,2023-01,0,0,Zomato,Delivery,Burger,1,233.83,0,233.83,76.51,15,58.46,83.86,UPI,33,16,0.99,CUST008503,0,1,,0,1,5,0.3,0
TXN0000029,OT001,02-01-2023,15:33:29,Monday,2023-01,0,0,Zomato,Delivery,Burger,1,244.47,12.69,231.78,70.85,15,57.94,87.99,UPI,15,14,1.16,CUST010817,0,1,3.7,1,1,5,0.3,0
TXN0000030,OT001,03-01-2023,13:36:24,Tuesday,2023-01,0,0,Zomato,Delivery,Combo,1,437.9,0,437.9,139.08,25,109.48,164.34,Wallet,20,11,7.67,CUST024263,0,1,,0,0,5,0.4,0
TXN0000031,OT001,03-01-2023,23:58:07,Tuesday,2023-01,0,0,Dine-in,Dine-in,Beverage,2,200.51,0,200.51,38.8,20,0,141.71,Wallet,,14,,CUST046601,1,0,,0,1,5,0.4,1
TXN0000032,OT001,03-01-2023,22:57:48,Tuesday,2023-01,0,0,Zomato,Delivery,Biryani,3,1013.22,215.98,797.24,271.34,56.25,199.31,270.34,Cash,29,8,4.95,CUST037785,0,1,,0,1,5,0.4,1
TXN0000033,OT001,03-01-2023,21:41:08,Tuesday,2023-01,0,0,Zomato,Delivery,Combo,2,908.46,0,908.46,284.95,50,227.12,346.39,Cash,25,14,4.49,CUST049470,0,1,,0,1,5,0.4,1
TXN0000034,OT001,03-01-2023,18:57:02,Tuesday,2023-01,0,0,Zomato,Delivery,Beverage,2,190.68,0,190.68,39.27,20,47.67,83.74,Card,35,16,7,CUST022535,0,1,,0,0,5,0.4,0
TXN0000035,OT001,03-01-2023,21:44:57,Tuesday,2023-01,0,0,Swiggy,Delivery,Dessert,1,159.6,0,159.6,46.51,12.5,36.71,63.88,UPI,21,17,1.95,CUST001008,1,0,,0,1,5,0.4,0
TXN0000036,OT001,03-01-2023,09:29:06,Tuesday,2023-01,0,0,Swiggy,Delivery,Combo,1,487.6,0,487.6,154.51,25,112.15,195.94,Cash,29,16,1.01,CUST037568,1,0,3,0,0,5,0.4,1
TXN0000037,OT001,03-01-2023,19:11:35,Tuesday,2023-01,0,0,Swiggy,Delivery,Pizza,1,365.25,0,365.25,108.17,22.5,84.01,150.57,UPI,35,13,6.64,CUST046767,0,1,,0,1,5,0.4,0
TXN0000038,OT001,03-01-2023,19:21:10,Tuesday,2023-01,0,0,Zomato,Delivery,Combo,1,468.57,0,468.57,153.39,25,117.14,173.04,UPI,18,8,5.29,CUST041753,0,1,,0,0,5,0.4,0
TXN0000039,OT001,03-01-2023,19:17:14,Tuesday,2023-01,0,0,Swiggy,Delivery,Pizza,1,376.3,30.38,345.92,103.3,22.5,79.56,140.56,Card,22,16,4.48,CUST034532,0,1,3.8,1,1,5,0.4,0
TXN0000040,OT001,03-01-2023,17:47:56,Tuesday,2023-01,0,0,Zomato,Delivery,Beverage,1,101.81,0,101.81,21.35,10,25.45,45.01,Wallet,26,9,5.6,CUST030088,1,0,,0,0,5,0.4,0
TXN0000041,OT001,03-01-2023,20:50:23,Tuesday,2023-01,0,0,Zomato,Delivery,Burger,2,406.65,0,406.65,126.36,30,101.66,148.63,UPI,37,11,7.56,CUST043202,1,0,,1,0,5,0.4,0
TXN0000042,OT001,04-01-2023,18:30:31,Wednesday,2023-01,0,0,Zomato,Delivery,Combo,4,1947.62,0,1947.62,649.93,100,486.9,710.79,UPI,34,17,4.13,CUST015314,0,1,4.9,1,0,7,0.8,1
TXN0000043,OT001,04-01-2023,07:22:11,Wednesday,2023-01,0,0,Zomato,Delivery,Dessert,1,164.28,0,164.28,44.54,12.5,41.07,66.17,UPI,32,18,4.24,CUST033121,0,1,3.4,0,0,7,0.8,1
TXN0000044,OT001,04-01-2023,21:48:29,Wednesday,2023-01,0,0,WhatsApp,Takeaway,Biryani,3,1000.11,0,1000.11,359.41,56.25,20,564.45,Card,,13,,CUST011172,0,1,3.7,0,0,7,0.8,0
TXN0000045,OT001,04-01-2023,14:41:50,Wednesday,2023-01,0,0,Swiggy,Delivery,Combo,1,486.68,0,486.68,164.35,25,111.94,185.39,UPI,28,16,1.49,CUST035134,1,0,,0,1,7,0.8,0
TXN0000046,OT001,04-01-2023,08:46:13,Wednesday,2023-01,0,0,Swiggy,Delivery,Biryani,2,606.26,0,606.26,222.15,37.5,139.44,207.17,UPI,29,9,2.44,CUST016654,0,1,,0,1,7,0.8,0
TXN0000047,OT001,04-01-2023,13:28:09,Wednesday,2023-01,0,0,Swiggy,Delivery,Burger,2,457.91,0,457.91,142.9,30,105.32,179.69,Cash,37,20,3.19,CUST018310,1,0,,0,0,7,0.8,0
TXN0000048,OT001,04-01-2023,11:19:49,Wednesday,2023-01,0,0,WhatsApp,Takeaway,Burger,1,204.83,0,204.83,63.74,15,4.1,121.99,Card,,7,,CUST000126,1,0,4.8,0,1,7,0.8,0
TXN0000049,OT001,04-01-2023,22:49:28,Wednesday,2023-01,0,0,Dine-in,Dine-in,Pizza,2,798.22,0,798.22,230.84,45,0,522.38,Wallet,,14,,CUST041975,1,0,,0,1,7,0.8,0
TXN0000050,OT001,04-01-2023,19:31:37,Wednesday,2023-01,0,0,Dine-in,Dine-in,Burger,2,480.43,0,480.43,156.55,30,0,293.88,Card,,19,,CUST031891,0,1,3.9,0,0,7,0.8,0
TXN0000051,OT001,04-01-2023,22:13:52,Wednesday,2023-01,0,0,Swiggy,Delivery,Pizza,1,372.74,0,372.74,109.79,22.5,85.73,154.72,Cash,25,15,2.67,CUST031117,1,0,,0,0,7,0.8,0
TXN0000052,OT001,04-01-2023,20:18:44,Wednesday,2023-01,0,0,Dine-in,Dine-in,Burger,2,405.52,0,405.52,128.03,30,0,247.49,UPI,,16,,CUST039779,1,0,3.5,0,0,7,0.8,0
TXN0000053,OT001,04-01-2023,10:13:09,Wednesday,2023-01,0,0,Direct App,Takeaway,Pizza,2,872.24,0,872.24,272.51,45,43.61,511.12,Card,,12,,CUST039339,1,0,3.3,0,0,7,0.8,0
TXN0000054,OT001,04-01-2023,02:22:42,Wednesday,2023-01,0,0,Zomato,Delivery,Beverage,3,284.61,0,284.61,54.42,30,71.15,129.04,Card,26,16,1.26,CUST042642,1,0,4.4,0,1,7,0.8,0
TXN0000055,OT001,04-01-2023,14:12:03,Wednesday,2023-01,0,0,Dine-in,Dine-in,Pizza,1,428.75,0,428.75,124.57,22.5,0,281.68,UPI,,10,,CUST042669,1,0,3.9,1,0,7,0.8,0
TXN0000056,OT001,04-01-2023,18:58:12,Wednesday,2023-01,0,0,Swiggy,Delivery,Dessert,3,425.53,0,425.53,120.47,37.5,97.87,169.69,UPI,34,9,3.58,CUST016036,0,1,,0,1,7,0.8,0
TXN0000057,OT001,04-01-2023,10:54:49,Wednesday,2023-01,0,0,Zomato,Delivery,Burger,3,671.34,0,671.34,207.92,45,167.84,250.58,UPI,22,11,2.84,CUST004359,0,1,,1,1,7,0.8,1
TXN0000058,OT001,04-01-2023,19:02:41,Wednesday,2023-01,0,0,Swiggy,Delivery,Beverage,2,219.65,15.56,204.09,41.73,20,46.94,95.42,UPI,22,12,4.84,CUST049860,1,0,3.8,0,0,7,0.8,0
TXN0000059,OT001,04-01-2023,15:59:01,Wednesday,2023-01,0,0,Swiggy,Delivery,Burger,2,429.4,0,429.4,139.88,30,98.76,160.76,UPI,25,8,1.93,CUST047557,1,0,3.9,0,0,7,0.8,0
TXN0000060,OT001,04-01-2023,11:30:46,Wednesday,2023-01,0,0,Zomato,Delivery,Pizza,1,396.03,0,396.03,117,22.5,99.01,157.52,UPI,28,12,5.49,CUST020422,1,0,,0,0,7,0.8,0
TXN0000061,OT001,04-01-2023,12:07:38,Wednesday,2023-01,0,0,Dine-in,Dine-in,Pizza,2,745.49,54.82,690.67,201.55,45,0,444.12,Wallet,,7,,CUST037175,1,0,4,0,0,7,0.8,0
TXN0000062,OT001,04-01-2023,10:21:42,Wednesday,2023-01,0,0,Swiggy,Delivery,Pizza,1,400.09,0,400.09,120.5,22.5,92.02,165.07,UPI,15,15,5.21,CUST020610,0,1,4.9,0,1,7,0.8,0
TXN0000063,OT001,04-01-2023,12:13:19,Wednesday,2023-01,0,0,Swiggy,Delivery,Combo,2,946.08,0,946.08,315.53,50,217.6,362.95,Card,23,18,7.65,CUST045184,0,1,4.4,0,0,7,0.8,1
TXN0000064,OT001,04-01-2023,15:12:30,Wednesday,2023-01,0,0,Swiggy,Delivery,Biryani,1,334.15,0,334.15,118.35,18.75,76.85,120.2,UPI,15,13,5.38,CUST029795,1,0,4.7,0,0,7,0.8,0
TXN0000065,OT001,04-01-2023,08:27:45,Wednesday,2023-01,0,0,Zomato,Delivery,Beverage,1,100.19,0,100.19,20.67,10,25.05,44.47,UPI,15,18,5.18,CUST034318,0,1,3.9,0,0,7,0.8,0
TXN0000066,OT001,05-01-2023,23:54:01,Thursday,2023-01,0,0,Zomato,Delivery,Biryani,3,991.02,0,991.02,336.09,56.25,247.76,350.92,UPI,15,18,6.76,CUST029301,0,1,3.9,0,1,7,0.37,0
TXN0000067,OT001,05-01-2023,16:03:33,Thursday,2023-01,0,0,Zomato,Delivery,Beverage,2,195.04,0,195.04,38.85,20,48.76,87.43,Cash,24,11,6.39,CUST025365,0,1,4.5,0,0,7,0.37,1
TXN0000068,OT001,05-01-2023,21:54:33,Thursday,2023-01,0,0,Zomato,Delivery,Pizza,1,431.15,0,431.15,134.29,22.5,107.79,166.57,UPI,22,14,0.79,CUST028904,0,1,,1,0,7,0.37,1
TXN0000069,OT001,05-01-2023,13:45:35,Thursday,2023-01,0,0,Zomato,Delivery,Beverage,2,187.41,13.06,174.35,35.43,20,43.59,75.33,UPI,21,17,0.66,CUST032126,1,0,4.2,0,0,7,0.37,0
TXN0000070,OT001,05-01-2023,12:40:40,Thursday,2023-01,0,0,WhatsApp,Takeaway,Pizza,3,1157.33,167.66,989.67,285.44,67.5,19.79,616.94,Card,,15,,CUST045001,1,0,3.4,1,0,7,0.37,1
TXN0000071,OT001,05-01-2023,14:58:13,Thursday,2023-01,0,0,Swiggy,Delivery,Pizza,4,1517.02,135.76,1381.26,430.41,90,317.69,543.16,UPI,30,17,5.34,CUST014216,0,1,,0,0,7,0.37,0
TXN0000072,OT001,05-01-2023,20:45:06,Thursday,2023-01,0,0,Zomato,Delivery,Burger,1,236.39,0,236.39,75.94,15,59.1,86.35,UPI,23,15,5.96,CUST027045,1,0,3.6,0,0,7,0.37,0
TXN0000073,OT001,05-01-2023,18:55:02,Thursday,2023-01,0,0,Zomato,Delivery,Pizza,2,859.73,0,859.73,264.65,45,214.93,335.15,Cash,26,9,0.57,CUST044523,1,0,,1,0,7,0.37,0
TXN0000074,OT001,05-01-2023,13:20:45,Thursday,2023-01,0,0,Swiggy,Delivery,Burger,1,237.77,0,237.77,72.32,15,54.69,95.76,UPI,21,16,7.69,CUST042004,1,0,4.3,0,1,7,0.37,0
TXN0000075,OT001,05-01-2023,20:53:34,Thursday,2023-01,0,0,Zomato,Delivery,Beverage,1,93.57,7.8,85.77,16.61,10,21.44,37.72,UPI,24,18,3.41,CUST043544,0,1,3.8,0,0,7,0.37,0
TXN0000076,OT001,05-01-2023,19:17:18,Thursday,2023-01,0,0,Zomato,Delivery,Dessert,2,274.62,32.09,242.53,69.84,25,60.63,87.06,Card,35,17,4.38,CUST046027,1,0,3.5,0,1,7,0.37,0
TXN0000077,OT001,06-01-2023,11:05:03,Friday,2023-01,0,0,Swiggy,Delivery,Burger,2,494.2,0,494.2,161.94,30,113.67,188.59,Card,30,14,1.74,CUST017834,0,1,,0,0,6,0.6,0
TXN0000078,OT001,06-01-2023,21:25:50,Friday,2023-01,0,0,Zomato,Delivery,Pizza,2,789.63,0,789.63,241.77,45,197.41,305.45,UPI,23,14,7.28,CUST001432,0,1,3.8,0,0,6,0.6,0
TXN0000079,OT001,06-01-2023,07:29:21,Friday,2023-01,0,0,Zomato,Delivery,Burger,3,641.19,0,641.19,210.5,45,160.3,225.39,UPI,19,12,3.87,CUST031359,1,0,3.9,0,0,6,0.6,0
TXN0000080,OT001,06-01-2023,12:31:55,Friday,2023-01,0,0,Swiggy,Delivery,Burger,3,660.62,0,660.62,217.48,45,151.94,246.2,UPI,26,23,7.85,CUST006305,1,0,3.3,0,0,6,0.6,0
TXN0000081,OT001,06-01-2023,10:03:41,Friday,2023-01,0,0,Zomato,Delivery,Beverage,2,219.22,0,219.22,43.42,20,54.8,101,Card,19,15,4.57,CUST046137,0,1,,0,1,6,0.6,1
TXN0000082,OT001,06-01-2023,19:33:15,Friday,2023-01,0,0,Swiggy,Delivery,Beverage,2,182.49,0,182.49,37.62,20,41.97,82.9,Cash,39,11,3.94,CUST018134,1,0,,0,0,6,0.6,0
TXN0000083,OT001,06-01-2023,10:13:26,Friday,2023-01,0,0,Dine-in,Dine-in,Pizza,3,1213.92,0,1213.92,349.4,67.5,0,797.02,UPI,,9,,CUST006853,1,0,3.7,0,1,6,0.6,0
TXN0000084,OT001,06-01-2023,23:55:11,Friday,2023-01,0,0,Swiggy,Delivery,Biryani,3,990.13,0,990.13,356.87,56.25,227.73,349.28,Cash,37,14,3.47,CUST013938,1,0,,0,0,6,0.6,0
TXN0000085,OT001,06-01-2023,10:37:32,Friday,2023-01,0,0,Swiggy,Delivery,Burger,1,235.47,0,235.47,73.94,15,54.16,92.37,UPI,34,15,6.49,CUST033692,1,0,3.7,0,0,6,0.6,0
TXN0000086,OT001,06-01-2023,21:30:58,Friday,2023-01,0,0,Zomato,Delivery,Burger,2,452.47,0,452.47,150.44,30,113.12,158.91,UPI,29,12,1.91,CUST043733,0,1,3.4,0,0,6,0.6,0
TXN0000087,OT001,06-01-2023,12:21:02,Friday,2023-01,0,0,Dine-in,Dine-in,Pizza,1,369.04,71.53,297.51,88.54,22.5,0,186.47,Cash,,15,,CUST011102,0,1,3.4,0,0,6,0.6,0
TXN0000088,OT001,06-01-2023,23:34:32,Friday,2023-01,0,0,Zomato,Delivery,Beverage,1,103.73,8.81,94.92,19.66,10,23.73,41.53,UPI,43,12,2.2,CUST028277,0,1,4.3,0,0,6,0.6,0
TXN0000089,OT001,06-01-2023,14:51:13,Friday,2023-01,0,0,Dine-in,Dine-in,Burger,3,615.48,0,615.48,199.92,45,0,370.56,Cash,,10,,CUST022011,1,0,3.4,0,1,6,0.6,0
TXN0000090,OT001,06-01-2023,14:24:39,Friday,2023-01,0,0,Direct App,Takeaway,Combo,1,509.04,0,509.04,174.88,25,25.45,283.71,UPI,,14,,CUST004494,1,0,,0,0,6,0.6,0
TXN0000091,OT001,06-01-2023,11:52:35,Friday,2023-01,0,0,Zomato,Delivery,Burger,1,223.59,0,223.59,72.25,15,55.9,80.44,Cash,32,18,2.73,CUST005375,1,0,,0,0,6,0.6,0
TXN0000092,OT001,06-01-2023,08:28:48,Friday,2023-01,0,0,Zomato,Delivery,Biryani,1,343.8,0,343.8,122.24,18.75,85.95,116.86,Wallet,20,14,2.39,CUST046088,0,1,3.2,0,0,6,0.6,1
TXN0000093,OT001,06-01-2023,16:46:39,Friday,2023-01,0,0,Zomato,Delivery,Biryani,3,994.88,0,994.88,346.24,56.25,248.72,343.67,Wallet,40,19,4.94,CUST017570,0,1,3.8,0,1,6,0.6,0
TXN0000094,OT001,06-01-2023,15:40:00,Friday,2023-01,0,0,Zomato,Delivery,Biryani,3,878.07,149.99,728.08,265.21,56.25,182.02,224.6,Card,21,8,2.29,CUST021181,1,0,3.2,0,0,6,0.6,0
TXN0000095,OT001,07-01-2023,20:48:41,Saturday,2023-01,1,0,Zomato,Delivery,Combo,1,435.77,0,435.77,138.25,25,108.94,163.58,UPI,21,18,3.09,CUST008211,1,0,,0,0,6,0.5,0
TXN0000096,OT001,07-01-2023,14:07:52,Saturday,2023-01,1,0,Zomato,Delivery,Beverage,1,104.37,0,104.37,21.34,10,26.09,46.94,UPI,27,12,6.97,CUST029809,0,1,,1,0,6,0.5,0
TXN0000097,OT001,07-01-2023,07:57:50,Saturday,2023-01,1,0,Zomato,Delivery,Combo,2,983.95,0,983.95,327.74,50,245.99,360.22,UPI,32,17,0.58,CUST006032,0,1,,0,0,6,0.5,0
TXN0000098,OT001,07-01-2023,23:01:16,Saturday,2023-01,1,0,Swiggy,Delivery,Pizza,2,733.5,0,733.5,229.08,45,168.7,290.72,UPI,29,13,6.56,CUST034889,0,1,3.2,0,1,6,0.5,0
TXN0000099,OT001,07-01-2023,13:57:29,Saturday,2023-01,1,0,Swiggy,Delivery,Dessert,3,482.18,0,482.18,134.08,37.5,110.9,199.7,UPI,34,8,3.28,CUST003268,0,1,,0,0,6,0.5,1
TXN0000100,OT001,07-01-2023,06:00:00,Saturday,2023-01,1,0,Dine-in,Dine-in,Biryani,2,634.26,80.66,553.6,199.41,37.5,0,316.69,UPI,,9,,CUST005745,0,1,,0,0,6,0.5,0
TXN0000101,OT001,07-01-2023,10:04:29,Saturday,2023-01,1,0,Zomato,Delivery,Pizza,4,1562.95,87.82,1475.13,437.58,90,368.78,578.77,Card,29,8,1.7,CUST006140,0,1,,0,1,6,0.5,0
TXN0000102,OT001,07-01-2023,17:28:12,Saturday,2023-01,1,0,Swiggy,Delivery,Burger,1,246.18,0,246.18,82.56,15,56.62,92,UPI,24,9,4.08,CUST000341,1,0,4,0,0,6,0.5,0
TXN0000103,OT001,07-01-2023,13:43:20,Saturday,2023-01,1,0,WhatsApp,Takeaway,Pizza,1,406.44,56.42,350.02,106.33,22.5,7,214.19,UPI,,5,,CUST048981,0,1,,0,0,6,0.5,0
TXN0000104,OT001,07-01-2023,10:04:16,Saturday,2023-01,1,0,Direct App,Takeaway,Combo,1,483.84,0,483.84,157.33,25,24.19,277.32,Card,,11,,CUST001961,1,0,,0,1,6,0.5,1
TXN0000105,OT001,07-01-2023,21:11:05,Saturday,2023-01,1,0,Zomato,Delivery,Pizza,4,1594.69,0,1594.69,482.65,90,398.67,623.37,UPI,16,11,2.02,CUST018355,0,1,5,0,0,6,0.5,0
TXN0000106,OT001,07-01-2023,18:46:03,Saturday,2023-01,1,0,Dine-in,Dine-in,Pizza,4,1459.03,259.77,1199.26,352.53,90,0,756.73,UPI,,11,,CUST036675,1,0,4.3,0,1,6,0.5,0
TXN0000107,OT001,07-01-2023,19:41:20,Saturday,2023-01,1,0,Zomato,Delivery,Dessert,1,141.32,0,141.32,37.63,12.5,35.33,55.86,UPI,20,18,7.98,CUST042728,1,0,,0,1,6,0.5,0
TXN0000108,OT001,07-01-2023,22:59:08,Saturday,2023-01,1,0,Direct App,Takeaway,Dessert,2,275.32,0,275.32,73.83,25,13.77,162.72,UPI,,13,,CUST028221,1,0,3.5,0,0,6,0.5,0
TXN0000109,OT001,07-01-2023,09:37:15,Saturday,2023-01,1,0,Swiggy,Delivery,Burger,3,640.2,0,640.2,197.6,45,147.25,250.35,UPI,25,9,5.83,CUST023783,0,1,4.3,0,0,6,0.5,0
TXN0000110,OT001,08-01-2023,18:52:18,Sunday,2023-01,1,0,Swiggy,Delivery,Burger,3,675.42,0,675.42,217.99,45,155.35,257.08,UPI,27,15,5.19,CUST033997,1,0,,0,0,6,0.63,0
TXN0000111,OT001,08-01-2023,22:07:17,Sunday,2023-01,1,0,Swiggy,Delivery,Burger,3,718.71,0,718.71,224.73,45,165.3,283.68,Wallet,23,17,3.52,CUST005277,0,1,,0,0,6,0.63,0
TXN0000112,OT001,08-01-2023,22:56:00,Sunday,2023-01,1,0,Zomato,Delivery,Pizza,3,1217.23,0,1217.23,381.35,67.5,304.31,464.07,Cash,35,16,3.67,CUST023479,0,1,3.9,0,1,6,0.63,0
TXN0000113,OT001,08-01-2023,00:22:20,Sunday,2023-01,1,0,Direct App,Takeaway,Beverage,4,420.88,0,420.88,85.88,40,21.04,273.96,UPI,,10,,CUST022057,0,1,3.8,0,0,6,0.63,0
TXN0000114,OT001,08-01-2023,15:47:17,Sunday,2023-01,1,0,Swiggy,Delivery,Beverage,1,107.18,17.19,89.99,17.85,10,20.7,41.44,UPI,21,20,7.02,CUST025352,0,1,,0,0,6,0.63,1
TXN0000115,OT001,08-01-2023,19:17:02,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,1,104.26,23.78,80.48,15.75,10,20.12,34.61,UPI,23,13,1.34,CUST042966,0,1,,1,1,6,0.63,0
TXN0000116,OT001,08-01-2023,19:13:09,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,1,108.12,0,108.12,22.11,10,27.03,48.98,UPI,39,12,3.91,CUST030117,1,0,4.1,1,1,6,0.63,0
TXN0000117,OT001,08-01-2023,12:31:31,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,2,193.92,0,193.92,36.85,20,48.48,88.59,UPI,36,15,2.75,CUST044246,0,1,,0,1,6,0.63,0
