review_id,outlet_id,review_date,platform,rating,review_category,sentiment_score,is_complaint,was_resolved,response_time_hours,archetype
REV0000047,OT001,2024-03-02,Zomato,5,Packaging,1.0,0,0,,stable
REV0000048,OT001,2024-01-03,Zomato,3,Food Quality,-0.15,0,0,,stable
REV0000049,OT001,2023-11-28,Swiggy,4,Value for Money,0.55,0,0,,stable
REV0000050,OT001,2024-01-27,Zomato,5,Food Quality,0.98,0,0,,stable
REV0000051,OT001,2023-05-14,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000052,OT001,2023-02-01,Zomato,4,Quantity,0.42,0,0,,stable
REV0000053,OT001,2023-06-07,Swiggy,4,Quantity,0.32,0,0,,stable
REV0000054,OT001,2023-01-06,Direct,4,Food Quality,0.43,0,0,,stable
REV0000055,OT001,2024-03-28,Swiggy,4,Service,0.48,0,0,,stable
REV0000056,OT001,2023-05-13,Zomato,3,Delivery Speed,-0.4,0,0,,stable
REV0000057,OT001,2024-05-11,Swiggy,4,Service,0.24,0,0,,stable
REV0000058,OT001,2023-10-21,Swiggy,5,Value for Money,1.0,0,0,,stable
REV0000059,OT001,2024-03-03,Swiggy,4,Value for Money,0.67,0,0,,stable
REV0000060,OT001,2023-12-08,Swiggy,3,Quantity,0.26,0,0,,stable
REV0000061,OT001,2023-10-15,Swiggy,2,Delivery Speed,-0.41,1,1,30.9,stable
REV0000062,OT001,2024-02-27,Zomato,5,Food Quality,0.99,0,0,,stable
REV0000063,OT001,2024-05-19,Google,5,Food Quality,1.0,0,0,,stable
REV0000064,OT001,2023-04-22,Swiggy,5,Food Quality,0.83,0,0,,stable
REV0000065,OT001,2024-04-17,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000066,OT001,2024-05-16,Swiggy,4,Packaging,0.61,0,0,,stable
REV0000067,OT001,2023-05-14,Zomato,4,Packaging,0.47,0,0,,stable
REV0000068,OT001,2023-08-18,Swiggy,4,Service,0.74,0,0,,stable
REV0000069,OT001,2024-02-01,Swiggy,4,Food Quality,0.39,0,0,,stable
REV0000070,OT001,2023-11-27,Zomato,4,Value for Money,0.39,0,0,,stable
REV0000071,OT001,2024-03-26,Zomato,4,Quantity,0.46,0,0,,stable
REV0000072,OT001,2023-07-09,Google,4,Food Quality,0.71,0,0,,stable
REV0000073,OT001,2023-04-27,Zomato,5,Packaging,1.0,0,0,,stable
REV0000074,OT001,2023-04-25,Swiggy,4,Value for Money,0.6,0,0,,stable
REV0000075,OT001,2023-09-13,Zomato,4,Food Quality,0.61,0,0,,stable
REV0000076,OT001,2023-04-09,Zomato,3,Quantity,0.02,0,0,,stable
REV0000077,OT001,2023-04-15,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000078,OT001,2024-02-03,Zomato,4,Delivery Speed,0.38,0,0,,stable
REV0000079,OT001,2023-03-10,Zomato,4,Food Quality,0.38,0,0,,stable
REV0000080,OT001,2024-04-12,Google,4,Food Quality,0.34,0,0,,stable
REV0000081,OT001,2024-04-24,Swiggy,5,Packaging,0.97,0,0,,stable
REV0000082,OT001,2024-01-06,Swiggy,4,Delivery Speed,0.86,0,0,,stable
REV0000083,OT001,2024-06-16,Swiggy,4,Quantity,0.57,0,0,,stable
REV0000084,OT001,2024-03-23,Zomato,4,Value for Money,0.39,0,0,,stable
REV0000085,OT001,2024-06-18,Zomato,4,Food Quality,0.43,0,0,,stable
REV0000086,OT001,2023-03-23,Google,5,Value for Money,1.0,0,0,,stable
REV0000087,OT001,2023-09-03,Zomato,4,Quantity,0.36,0,0,,stable
REV0000088,OT001,2023-03-16,Direct,5,Delivery Speed,1.0,0,0,,stable
REV0000089,OT001,2023-11-21,Zomato,5,Food Quality,0.92,0,0,,stable
REV0000090,OT001,2023-11-18,Zomato,5,Food Quality,0.93,0,0,,stable
REV0000091,OT001,2023-08-26,Swiggy,4,Delivery Speed,0.55,0,0,,stable
REV0000092,OT001,2023-02-08,Swiggy,4,Delivery Speed,0.51,0,0,,stable
REV0000093,OT001,2024-01-09,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000094,OT001,2023-03-07,Zomato,3,Service,-0.16,0,0,,stable
REV0000095,OT001,2023-09-07,Google,5,Delivery Speed,1.0,0,0,,stable
REV0000096,OT001,2024-05-13,Swiggy,5,Packaging,1.0,0,0,,stable
REV0000097,OT001,2023-09-01,Swiggy,3,Food Quality,-0.1,0,0,,stable
REV0000098,OT001,2024-03-09,Google,5,Food Quality,0.92,0,0,,stable
REV0000099,OT001,2023-07-03,Zomato,4,Value for Money,0.59,0,0,,stable
REV0000100,OT001,2023-05-16,Google,4,Food Quality,0.8,0,0,,stable
REV0000101,OT001,2023-03-14,Swiggy,4,Delivery Speed,0.65,0,0,,stable
REV0000102,OT001,2023-07-12,Swiggy,4,Food Quality,0.75,0,0,,stable
REV0000103,OT001,2023-02-27,Swiggy,5,Food Quality,1.0,0,0,,stable
REV0000104,OT001,2024-04-06,Direct,5,Packaging,1.0,0,0,,stable
REV0000105,OT001,2023-05-09,Swiggy,5,Food Quality,0.93,0,0,,stable
REV0000106,OT001,2024-01-10,Swiggy,4,Value for Money,0.28,0,0,,stable
REV0000107,OT001,2024-02-20,Swiggy,4,Delivery Speed,0.79,0,0,,stable
REV0000108,OT001,2023-02-21,Zomato,4,Value for Money,0.37,0,0,,stable
REV0000109,OT001,2024-02-19,Zomato,4,Quantity,0.56,0,0,,stable
REV0000110,OT001,2023-02-12,Zomato,4,Food Quality,0.59,0,0,,stable
REV0000111,OT001,2024-02-03,Swiggy,3,Quantity,-0.24,0,0,,stable
REV0000112,OT001,2023-01-11,Google,3,Value for Money,0.11,0,0,,stable
REV0000113,OT001,2023-04-03,Zomato,4,Value for Money,0.44,0,0,,stable
REV0000114,OT001,2023-06-18,Zomato,5,Delivery Speed,0.7,0,0,,stable
REV0000115,OT001,2024-06-01,Google,4,Packaging,0.66,0,0,,stable
REV0000116,OT001,2023-08-25,Swiggy,5,Delivery Speed,1.0,0,0,,stable
REV0000117,OT001,2024-03-09,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000118,OT001,2024-03-07,Swiggy,5,Delivery Speed,0.99,0,0,,stable
REV0000119,OT001,2023-04-15,Zomato,5,Value for Money,1.0,0,0,,stable
REV0000120,OT001,2023-02-28,Google,5,Food Quality,0.93,0,0,,stable
REV0000121,OT001,2024-03-15,Zomato,5,Quantity,0.79,0,0,,stable
REV0000122,OT001,2024-03-31,Google,3,Service,-0.07,0,0,,stable
REV0000123,OT001,2024-05-08,Zomato,3,Food Quality,-0.13,0,0,,stable
REV0000124,OT001,2023-04-28,Direct,5,Delivery Speed,0.86,0,0,,stable
REV0000125,OT001,2024-05-18,Zomato,4,Food Quality,0.52,0,0,,stable
REV0000126,OT001,2023-05-19,Google,4,Food Quality,0.27,0,0,,stable
REV0000127,OT001,2023-07-02,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000128,OT001,2024-04-26,Google,4,Delivery Speed,0.49,0,0,,stable
REV0000129,OT001,2024-02-04,Zomato,5,Quantity,1.0,0,0,,stable
REV0000130,OT001,2023-05-13,Swiggy,3,Food Quality,0.14,0,0,,stable
REV0000131,OT001,2023-04-23,Swiggy,4,Delivery Speed,0.64,0,0,,stable
REV0000132,OT001,2023-09-17,Zomato,4,Packaging,0.35,0,0,,stable
REV0000133,OT001,2024-04-27,Zomato,4,Quantity,0.7,0,0,,stable
REV0000134,OT001,2023-10-06,Zomato,5,Food Quality,0.83,0,0,,stable
REV0000135,OT001,2024-04-19,Swiggy,3,Service,-0.23,0,0,,stable
REV0000136,OT001,2023-06-08,Direct,4,Service,0.36,0,0,,stable
REV0000137,OT001,2024-05-06,Swiggy,5,Value for Money,0.8,0,0,,stable
REV0000138,OT001,2023-06-20,Swiggy,4,Service,0.51,0,0,,stable
REV0000139,OT001,2023-01-23,Google,3,Food Quality,-0.05,0,0,,stable
REV0000140,OT001,2023-10-16,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000141,OT001,2024-05-16,Swiggy,4,Food Quality,0.5,0,0,,stable
REV0000142,OT001,2023-11-04,Google,3,Value for Money,0.3,0,0,,stable
REV0000143,OT001,2023-02-26,Swiggy,5,Quantity,0.91,0,0,,stable
REV0000144,OT001,2023-03-04,Zomato,5,Delivery Speed,0.9,0,0,,stable
REV0000145,OT001,2023-10-04,Direct,5,Value for Money,0.92,0,0,,stable
REV0000146,OT001,2024-04-12,Swiggy,5,Value for Money,0.96,0,0,,stable
REV0000147,OT001,2023-05-03,Zomato,4,Food Quality,0.39,0,0,,stable
REV0000148,OT001,2024-05-18,Swiggy,3,Value for Money,-0.09,0,0,,stable
REV0000149,OT001,2023-07-14,Zomato,5,Food Quality,0.91,0,0,,stable
REV0000150,OT001,2024-06-22,Google,5,Packaging,1.0,0,0,,stable
REV0000151,OT001,2023-05-25,Google,4,Delivery Speed,0.4,0,0,,stable
REV0000152,OT001,2023-03-26,Zomato,4,Delivery Speed,0.21,0,0,,stable
REV0000153,OT001,2023-02-04,Google,3,Packaging,-0.1,0,0,,stable
REV0000154,OT001,2023-02-13,Swiggy,5,Quantity,0.76,0,0,,stable
REV0000155,OT001,2023-08-13,Swiggy,3,Quantity,0.02,0,0,,stable
REV0000156,OT001,2023-05-05,Zomato,5,Packaging,0.91,0,0,,stable
REV0000157,OT001,2023-05-10,Zomato,5,Quantity,0.91,0,0,,stable
REV0000158,OT001,2024-05-14,Zomato,4,Service,0.73,0,0,,stable
REV0000159,OT001,2024-03-20,Zomato,5,Packaging,1.0,0,0,,stable
REV0000160,OT001,2023-01-18,Google,4,Value for Money,0.57,0,0,,stable
REV0000161,OT001,2023-03-08,Zomato,4,Quantity,0.54,0,0,,stable
REV0000162,OT001,2023-12-02,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000163,OT001,2023-12-10,Swiggy,5,Quantity,1.0,0,0,,stable
REV0000164,OT001,2023-12-04,Zomato,5,Quantity,1.0,0,0,,stable
REV0000165,OT001,2024-02-04,Google,3,Value for Money,0.01,0,0,,stable
REV0000166,OT001,2023-03-23,Swiggy,4,Service,0.44,0,0,,stable
REV0000167,OT001,2024-01-31,Google,5,Value for Money,1.0,0,0,,stable
REV0000168,OT001,2023-09-16,Swiggy,5,Service,1.0,0,0,,stable
REV0000169,OT001,2024-02-05,Zomato,4,Delivery Speed,0.33,0,0,,stable
REV0000170,OT001,2024-01-25,Zomato,5,Packaging,0.87,0,0,,stable
REV0000171,OT001,2023-03-28,Google,5,Quantity,1.0,0,0,,stable
REV0000172,OT001,2024-01-27,Zomato,4,Quantity,0.63,0,0,,stable
REV0000173,OT001,2024-03-02,Swiggy,5,Food Quality,0.83,0,0,,stable
REV0000174,OT001,2024-05-19,Zomato,4,Quantity,0.25,0,0,,stable
REV0000175,OT001,2024-06-01,Zomato,4,Delivery Speed,0.41,0,0,,stable
REV0000176,OT001,2024-02-12,Swiggy,5,Quantity,0.97,0,0,,stable
REV0000177,OT001,2024-04-01,Zomato,4,Service,0.6,0,0,,stable
REV0000178,OT001,2023-01-21,Swiggy,5,Delivery Speed,0.95,0,0,,stable
REV0000179,OT001,2024-06-19,Zomato,3,Quantity,0.05,0,0,,stable
REV0000180,OT001,2023-07-22,Google,4,Delivery Speed,0.48,0,0,,stable
REV0000181,OT001,2024-04-16,Direct,4,Food Quality,0.67,0,0,,stable
REV0000182,OT001,2024-01-29,Zomato,5,Value for Money,1.0,0,0,,stable
REV0000183,OT001,2023-02-05,Google,5,Delivery Speed,0.72,0,0,,stable
REV0000184,OT001,2023-12-18,Swiggy,5,Service,0.97,0,0,,stable
REV0000185,OT001,2024-06-06,Swiggy,5,Service,1.0,0,0,,stable
REV0000186,OT001,2024-01-30,Swiggy,4,Value for Money,0.56,0,0,,stable
REV0000187,OT001,2023-11-23,Swiggy,4,Service,0.51,0,0,,stable
REV0000188,OT001,2023-04-15,Google,4,Value for Money,0.47,0,0,,stable
REV0000189,OT001,2024-03-04,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000190,OT001,2024-01-14,Zomato,4,Value for Money,0.42,0,0,,stable
REV0000191,OT001,2024-03-25,Swiggy,3,Quantity,0.0,0,0,,stable
REV0000192,OT001,2024-01-06,Zomato,4,Delivery Speed,0.52,0,0,,stable
REV0000193,OT001,2024-05-11,Google,4,Quantity,0.52,0,0,,stable
REV0000194,OT001,2023-03-03,Swiggy,5,Service,1.0,0,0,,stable
REV0000195,OT001,2024-04-12,Swiggy,4,Quantity,0.52,0,0,,stable
REV0000196,OT001,2023-12-17,Google,5,Service,1.0,0,0,,stable
REV0000197,OT001,2023-08-29,Zomato,5,Delivery Speed,0.94,0,0,,stable
REV0000198,OT001,2024-04-05,Google,4,Quantity,0.57,0,0,,stable
REV0000199,OT001,2023-09-03,Zomato,4,Delivery Speed,0.46,0,0,,stable
REV0000200,OT001,2023-03-09,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000201,OT001,2023-04-20,Google,5,Packaging,0.91,0,0,,stable
REV0000202,OT001,2023-01-10,Swiggy,4,Delivery Speed,0.4,0,0,,stable
REV0000203,OT001,2023-08-12,Zomato,3,Packaging,0.1,0,0,,stable
REV0000204,OT001,2023-05-14,Direct,5,Value for Money,1.0,0,0,,stable
REV0000205,OT001,2023-12-19,Google,3,Food Quality,0.09,0,0,,stable
REV0000206,OT001,2023-09-21,Swiggy,5,Food Quality,0.71,0,0,,stable
REV0000207,OT001,2024-01-22,Google,5,Packaging,0.98,0,0,,stable
REV0000208,OT001,2023-06-11,Zomato,3,Food Quality,-0.08,0,0,,stable
REV0000209,OT001,2023-01-02,Swiggy,5,Value for Money,0.96,0,0,,stable
REV0000210,OT001,2023-09-19,Zomato,4,Food Quality,0.59,0,0,,stable
REV0000211,OT001,2023-05-30,Zomato,4,Delivery Speed,0.41,0,0,,stable
REV0000212,OT001,2023-07-23,Zomato,5,Delivery Speed,0.84,0,0,,stable
REV0000213,OT001,2024-06-28,Swiggy,3,Value for Money,-0.22,0,0,,stable
REV0000214,OT001,2023-08-17,Zomato,5,Value for Money,0.95,0,0,,stable
REV0000215,OT001,2023-03-16,Swiggy,4,Quantity,0.64,0,0,,stable
REV0000216,OT001,2023-02-12,Zomato,3,Value for Money,-0.12,0,0,,stable
REV0000217,OT001,2023-06-18,Google,4,Delivery Speed,0.6,0,0,,stable
REV0000218,OT001,2023-02-08,Zomato,3,Packaging,-0.37,0,0,,stable
REV0000219,OT001,2024-04-26,Zomato,4,Quantity,0.61,0,0,,stable
REV0000220,OT001,2023-05-05,Zomato,4,Service,0.4,0,0,,stable
REV0000221,OT001,2024-04-13,Direct,4,Delivery Speed,0.43,0,0,,stable
REV0000222,OT001,2023-02-17,Zomato,5,Delivery Speed,0.91,0,0,,stable
REV0000223,OT001,2023-06-25,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000224,OT001,2023-02-16,Swiggy,4,Food Quality,0.44,0,0,,stable
REV0000225,OT001,2023-02-18,Direct,4,Service,0.47,0,0,,stable
REV0000226,OT001,2024-04-04,Zomato,3,Food Quality,-0.13,0,0,,stable
REV0000227,OT001,2023-09-26,Zomato,4,Food Quality,0.72,0,0,,stable
REV0000228,OT001,2024-02-05,Zomato,4,Quantity,0.46,0,0,,stable
REV0000229,OT001,2024-06-01,Zomato,5,Food Quality,0.9,0,0,,stable
REV0000230,OT001,2024-06-03,Swiggy,4,Food Quality,0.46,0,0,,stable
REV0000231,OT001,2024-04-10,Swiggy,3,Service,-0.14,0,0,,stable
REV0000232,OT001,2024-02-13,Zomato,3,Quantity,0.03,0,0,,stable
REV0000233,OT001,2023-07-08,Swiggy,4,Packaging,0.41,0,0,,stable
REV0000234,OT001,2023-08-08,Zomato,4,Value for Money,0.35,0,0,,stable
REV0000235,OT001,2023-06-11,Zomato,4,Delivery Speed,0.44,0,0,,stable
REV0000236,OT001,2023-06-08,Direct,4,Value for Money,0.48,0,0,,stable
REV0000237,OT001,2023-06-23,Zomato,5,Service,1.0,0,0,,stable
REV0000238,OT001,2023-02-14,Google,4,Packaging,0.56,0,0,,stable
REV0000239,OT001,2023-05-04,Swiggy,3,Packaging,-0.06,0,0,,stable
REV0000240,OT001,2023-05-03,Direct,4,Packaging,0.44,0,0,,stable
REV0000241,OT001,2023-04-26,Zomato,5,Packaging,1.0,0,0,,stable
REV0000242,OT001,2023-02-04,Zomato,5,Service,0.96,0,0,,stable
REV0000243,OT001,2023-11-14,Zomato,3,Food Quality,-0.03,0,0,,stable
REV0000244,OT001,2023-10-10,Google,4,Service,0.58,0,0,,stable
REV0000245,OT001,2024-03-07,Zomato,3,Service,0.05,0,0,,stable
REV0000246,OT001,2023-05-06,Swiggy,4,Value for Money,0.44,0,0,,stable
REV0000247,OT001,2023-02-08,Swiggy,4,Value for Money,0.31,0,0,,stable
REV0000248,OT001,2024-04-27,Zomato,4,Quantity,0.51,0,0,,stable
REV0000249,OT001,2023-02-27,Zomato,4,Quantity,0.51,0,0,,stable
REV0000250,OT001,2023-03-24,Zomato,5,Quantity,1.0,0,0,,stable
REV0000251,OT001,2023-07-28,Zomato,4,Value for Money,0.38,0,0,,stable
REV0000252,OT001,2023-03-30,Swiggy,4,Quantity,0.58,0,0,,stable
REV0000253,OT001,2023-08-21,Swiggy,4,Quantity,0.53,0,0,,stable
REV0000254,OT001,2024-04-24,Swiggy,4,Service,0.14,0,0,,stable
REV0000255,OT001,2023-01-08,Swiggy,4,Food Quality,0.54,0,0,,stable
REV0000256,OT001,2023-04-21,Swiggy,3,Food Quality,0.15,0,0,,stable
REV0000257,OT001,2023-04-09,Google,4,Packaging,0.63,0,0,,stable
REV0000258,OT001,2023-06-30,Swiggy,5,Service,1.0,0,0,,stable
REV0000259,OT001,2024-06-14,Zomato,5,Service,0.88,0,0,,stable
REV0000260,OT001,2024-04-29,Swiggy,4,Packaging,0.17,0,0,,stable
REV0000261,OT001,2023-01-12,Zomato,4,Food Quality,0.5,0,0,,stable
REV0000262,OT001,2024-04-15,Zomato,5,Packaging,0.84,0,0,,stable
REV0000263,OT001,2023-09-16,Swiggy,4,Quantity,0.68,0,0,,stable
REV0000264,OT001,2024-05-15,Zomato,4,Quantity,0.19,0,0,,stable
REV0000265,OT001,2024-06-04,Swiggy,5,Food Quality,0.73,0,0,,stable
REV0000266,OT001,2023-11-03,Swiggy,3,Food Quality,-0.06,0,0,,stable
REV0000267,OT001,2024-06-20,Zomato,4,Delivery Speed,0.69,0,0,,stable
REV0000268,OT001,2023-11-13,Swiggy,4,Delivery Speed,0.39,0,0,,stable
REV0000269,OT001,2023-02-22,Zomato,4,Service,0.39,0,0,,stable
REV0000270,OT001,2023-10-27,Google,4,Delivery Speed,0.38,0,0,,stable
REV0000271,OT001,2023-11-14,Zomato,5,Quantity,0.82,0,0,,stable
REV0000272,OT001,2024-05-09,Zomato,3,Delivery Speed,-0.12,0,0,,stable
REV0000273,OT001,2024-02-26,Swiggy,5,Food Quality,1.0,0,0,,stable
REV0000274,OT001,2024-02-16,Swiggy,5,Quantity,1.0,0,0,,stable
REV0000275,OT001,2024-02-23,Swiggy,3,Value for Money,-0.08,0,0,,stable
REV0000276,OT001,2024-04-19,Swiggy,5,Food Quality,0.93,0,0,,stable
REV0000277,OT001,2024-03-11,Swiggy,3,Quantity,-0.0,0,0,,stable
REV0000278,OT001,2023-07-13,Swiggy,4,Food Quality,0.37,0,0,,stable
REV0000279,OT001,2023-05-20,Google,4,Value for Money,0.63,0,0,,stable
REV0000280,OT001,2024-02-10,Zomato,4,Food Quality,0.15,0,0,,stable
REV0000281,OT001,2024-03-04,Zomato,4,Food Quality,0.44,0,0,,stable
REV0000282,OT001,2023-05-01,Swiggy,5,Service,0.79,0,0,,stable
REV0000283,OT001,2024-04-20,Google,4,Quantity,0.69,0,0,,stable
REV0000284,OT001,2023-03-26,Direct,5,Food Quality,1.0,0,0,,stable
REV0000285,OT001,2024-02-04,Google,5,Packaging,1.0,0,0,,stable
REV0000286,OT001,2023-04-14,Swiggy,5,Food Quality,0.93,0,0,,stable
REV0000287,OT001,2023-03-31,Zomato,4,Food Quality,0.69,0,0,,stable
REV0000288,OT001,2023-12-20,Swiggy,5,Value for Money,0.83,0,0,,stable
REV0000289,OT001,2023-09-12,Zomato,5,Service,0.98,0,0,,stable
REV0000290,OT001,2024-04-22,Google,5,Delivery Speed,1.0,0,0,,stable
REV0000291,OT001,2023-07-31,Swiggy,5,Service,1.0,0,0,,stable
REV0000292,OT001,2024-01-20,Swiggy,4,Packaging,0.27,0,0,,stable
REV0000293,OT001,2023-07-31,Zomato,5,Value for Money,1.0,0,0,,stable
REV0000294,OT001,2023-10-12,Google,5,Delivery Speed,1.0,0,0,,stable
REV0000295,OT001,2024-03-10,Zomato,5,Service,1.0,0,0,,stable
REV0000296,OT001,2023-08-09,Swiggy,4,Value for Money,0.49,0,0,,stable
REV0000297,OT001,2023-01-12,Zomato,4,Delivery Speed,0.45,0,0,,stable
REV0000298,OT001,2024-03-27,Zomato,4,Service,0.35,0,0,,stable
REV0000299,OT001,2024-05-17,Swiggy,4,Food Quality,0.25,0,0,,stable
REV0000300,OT001,2024-02-07,Zomato,5,Quantity,1.0,0,0,,stable
REV0000301,OT001,2023-06-04,Swiggy,3,Food Quality,0.01,0,0,,stable
REV0000302,OT001,2023-01-10,Swiggy,4,Service,0.66,0,0,,stable
REV0000303,OT001,2024-01-01,Google,5,Food Quality,1.0,0,0,,stable
REV0000304,OT001,2023-07-03,Swiggy,4,Value for Money,0.68,0,0,,stable
REV0000305,OT001,2023-02-20,Zomato,4,Quantity,0.33,0,0,,stable
REV0000306,OT001,2023-07-02,Swiggy,4,Value for Money,0.6,0,0,,stable
REV0000307,OT001,2023-05-10,Zomato,4,Service,0.42,0,0,,stable
REV0000308,OT001,2023-09-30,Google,4,Quantity,0.55,0,0,,stable
REV0000309,OT001,2024-02-11,Swiggy,5,Delivery Speed,0.91,0,0,,stable
REV0000310,OT001,2024-01-20,Zomato,4,Delivery Speed,0.68,0,0,,stable
REV0000311,OT001,2023-11-07,Zomato,4,Quantity,0.56,0,0,,stable
REV0000312,OT001,2024-01-08,Zomato,4,Delivery Speed,0.54,0,0,,stable
REV0000313,OT001,2024-06-09,Swiggy,4,Packaging,0.48,0,0,,stable
REV0000314,OT001,2023-02-22,Swiggy,4,Delivery Speed,0.32,0,0,,stable
REV0000315,OT002,2023-04-07,Zomato,3,Service,-0.08,0,0,,new
REV0000316,OT002,2024-05-28,Zomato,3,Service,0.01,0,0,,new
REV0000317,OT002,2023-05-31,Swiggy,4,Quantity,0.27,0,0,,new
REV0000318,OT002,2024-02-22,Zomato,4,Service,0.47,0,0,,new
REV0000319,OT002,2024-04-13,Zomato,4,Delivery Speed,0.64,0,0,,new
REV0000320,OT002,2023-02-09,Zomato,3,Quantity,-0.08,0,0,,new
REV0000321,OT002,2023-07-15,Swiggy,2,Value for Money,-0.49,1,1,31.4,new
REV0000322,OT002,2023-09-28,Swiggy,4,Value for Money,0.49,0,0,,new
REV0000323,OT002,2024-05-05,Zomato,3,Food Quality,-0.14,0,0,,new
REV0000324,OT002,2024-02-19,Direct,3,Quantity,-0.24,0,0,,new
REV0000325,OT002,2023-07-12,Zomato,4,Food Quality,0.56,0,0,,new
REV0000326,OT002,2024-05-27,Zomato,4,Delivery Speed,0.58,0,0,,new
REV0000327,OT002,2023-02-14,Swiggy,4,Delivery Speed,0.4,0,0,,new
REV0000328,OT002,2023-09-05,Swiggy,4,Value for Money,0.29,0,0,,new
REV0000329,OT002,2023-09-05,Zomato,4,Value for Money,0.76,0,0,,new
REV0000330,OT002,2024-04-27,Zomato,3,Food Quality,0.03,0,0,,new
REV0000331,OT002,2024-01-16,Zomato,4,Quantity,0.3,0,0,,new
REV0000332,OT002,2024-03-26,Zomato,4,Food Quality,0.31,0,0,,new
REV0000333,OT002,2023-04-16,Swiggy,3,Quantity,-0.22,0,0,,new
